Rank,Company,Vertical,Sub-vertical,Business Model,"HQ (City, State)",Other US Call Center Sites,Call Center Seats (est.),Seats Basis / Confidence,Total Employees,Annual Revenue,Revenue Basis / Confidence,# of Clients,Client List / Key Clients,Outbound Calling Evidence,TCPA Exposure Evidence (Trigger),Lead-Sourcing Posture,Litigation /30,Lead Source /25,Volume /20,Vertical /12,Geo /8,Gap /5,TCPA RISK SCORE,Risk Band,Solvency / Reputability,CiV Fit,Buying Trigger & Timing,Entry Point (Title),Opening Hook,Sources,Overall Confidence
11,US Solar Connect,Solar,Solar lead gen / sales,B2C/B2B,Not confirmed - verify,FL nexus (FTSA claim),Unknown,Not researched - NONE,Not public,Not public,Private - NONE,Unknown,Not public,Alleged autodialed calls to DNC-registered numbers,Tom v. US Solar Connect - TCPA class action pleading BOTH a National DNC Registry class AND a Florida Telephone Solicitation Act autodial class,Alleged autodialing of unverified lists,23,22,12,11,8,5,81,1 - CRITICAL,UNVERIFIED - diligence required,"B - acute pain, unknown size",Dual federal + FTSA class pleading - the doubled-damages structure that forces fast settlements,Owner / General Counsel,A stacked DNC + FTSA class means two statutory damages awards on one call. That math ends companies.,natlawreview solar lead company TCPA coverage,LOW - verify entity
12,"eHealth, Inc.",Insurance,Medicare / IFP telesales,B2C telesales,"Santa Clara, CA",Gold River CA; Indianapolis IN; Xiamen (offshore),"1,200-2,000 (est. peak AEP)",Est.; seasonal - MEDIUM,"~2,000+ (seasonal)",~$500M,Public filings - HIGH,Carrier partners,Major Medicare Advantage and IFP carriers,Confirmed outbound lead calling as core acquisition motion,Named in DOJ FCA complaint-in-intervention 5/1/2025,Purchases Medicare leads; heavy AEP vendor reliance,17,22,18,12,8,3,80,1 - CRITICAL,Adequate - NASDAQ listed; margin pressure,"A - mid-cap, real pain, reachable",DOJ action; AEP surge; CMS marketing rule tightening,Chief Compliance Officer / VP Sales Ops,"CMS marketing rules and TCPA now police the same call. One recording, two regulators, zero margin for provenance gaps.",justice.gov; medicaremarketinsights; company financials,MEDIUM-HIGH
13,"InsureMe, Inc.",Insurance,Lead gen / agency,B2C + B2B,Not confirmed - verify,Not confirmed,Unknown,Not researched - NONE,Not public,Not public,Private - NONE,Unknown,Not public,Alleged 20+ unsolicited telemarketing calls to a single DNC-registered cell in 2024,"Klouda v. InsureMe, Inc. - active TCPA suit alleging DNC-registry calls without express consent",Alleged high-frequency outbound to purchased/unverified lists,22,22,12,12,6,5,79,2 - HIGH,UNVERIFIED - diligence required before outreach,"B - real pain, unknown size/legitimacy",Active litigation; small firms settle fast and then buy prevention,Owner / General Counsel,"Twenty calls to one DNC number is not a dialer problem, it is a suppression-list problem. That is fixable this quarter.",Klouda v. InsureMe complaint reporting,LOW - verify entity before contact
14,Rocket Mortgage,Personal Finance,Mortgage lending,B2C telesales,"Detroit, MI",Detroit MI; Cleveland OH; Phoenix AZ,"3,000+ (est.)",Est. from banker headcount - MEDIUM,"~14,000",~$5B+,Public filings - HIGH,Consumers (direct),N/A - direct to consumer,One of the largest mortgage telesales operations in the US,Named among recent mortgage-industry TCPA class action defendants,Mix of owned first-party and purchased leads,19,18,20,12,8,2,79,2 - HIGH,Strong - NYSE listed,C - large in-house legal/compliance function,Mortgage TCPA filing wave; rate-cycle dialing surges,Chief Compliance Officer / Associate GC,"At your dial volume, a 0.1% consent-provenance gap is a certifiable class.",National Mortgage News TCPA class action coverage; public filings,MEDIUM-HIGH
15,"EverQuote, Inc.",Insurance,Lead marketplace / comparison,B2B lead + call seller,"Cambridge, MA","Belfast, ME; Evansville, IN (est.)",300-600 (est.),Est. from in-house agency + call ops - LOW,~600-800,$500.2M (2024),Public filings - HIGH,Hundreds of carriers & agents,Major P&C carriers and independent agents; buyer roster partially public via partner disclosures,Confirmed Convoso outbound dialer customer; operates in-house call scheduler and outbound agency,Structural: sells leads/calls into buyer outbound programs; marketplace model is the primary vicarious-liability vector post-IMC,Originates + distributes leads to many buyers simultaneously,12,25,17,12,8,3,77,2 - HIGH,"Strong - NASDAQ listed, profitable",A - sells compliance as differentiation,"Post-IMC, buyers demand named-party consent; marketplaces that can certify provenance win share",General Counsel / VP Compliance / Chief Revenue Officer,"Your buyers now inherit your consent language. Certifiable per-buyer provenance is a pricing advantage, not a cost center.",convoso.com customer story; company financials; wikipedia,HIGH on revenue/dialer
16,Beyond Finance,Personal Finance,Debt consolidation / settlement,B2C telesales,"Chicago, IL","Houston, TX; Atlanta, GA; San Diego, CA","1,500-2,500 (est.)",Est. from multi-site telesales model - MEDIUM,"~2,000+ (incl. Accredited Debt Relief ~900)",Not public,Private - NONE,1.3M+ consumers served,N/A - direct to consumer,Multi-site consumer telesales operation across three metros,Structural: debt relief is ~22% of TCPA case mix (2nd highest vertical); heavy purchased-lead reliance,Buys debt/financial-distress leads from aggregators,10,23,19,12,8,4,76,2 - HIGH,"Strong - scaled, 1.3M clients","A - large outbound floor, no listed-company legal bench",Debt relief is the #2 TCPA target vertical; CFPB/FTC also active on debt relief marketing,Chief Compliance Officer / General Counsel,"Debt relief is the second most-sued vertical in TCPA. Your lead vendors decide your exposure, and you cannot currently prove what they captured.",beyondfinance.com fast facts; BBB profile; WebRecon vertical case mix,MEDIUM
17,"GetMeHealthCare, LLC",Insurance,Health insurance lead gen,B2C + lead gen,Florida (M.D. Fla. venue),FL,Unknown,Not researched - NONE,Not public,Not public,Private - NONE,Unknown,Not public,Defendant in TCPA action arising from telemarketing calls,"Smith v. GetMeHealthCare, LLC, No. 25-CV-00568 (M.D. Fla. 7/21/2026) - notably counter-sued the plaintiff for fraud and survived dismissal",Unverified,20,20,10,12,8,5,75,2 - HIGH,UNVERIFIED - diligence required,"B - actively fighting back, so budget exists",Litigating aggressively (fraud counterclaim survived) - a buyer who invests in defense will invest in prevention,Owner / General Counsel,You are proving serial plaintiffs can be fought. Provenance evidence is what makes that fight cheap and repeatable.,Duane Morris Class Action Defense blog 7/29/2026,LOW - verify entity
18,National Debt Relief,Personal Finance,Debt settlement,B2C telesales,"New York, NY",NY; remote,"800-1,500 (est.)",Est. - LOW,"~1,000+",Not public,Private - NONE,Consumers (direct),N/A - direct to consumer,High-volume consumer telesales for debt settlement enrollment,Structural: top-2 TCPA vertical; consumer-distress targeting attracts plaintiff bar,Buys distress-signal leads from aggregators,10,23,18,12,8,4,75,2 - HIGH,Strong - major national brand,A,Vertical base rate + regulator attention on debt relief marketing,Chief Compliance Officer / General Counsel,Financial-distress leads are the most re-sold data in the market. You are dialing consent you have never seen.,industry positioning; WebRecon vertical case mix,LOW-MEDIUM
19,loanDepot,Personal Finance,Mortgage lending,B2C telesales,"Irvine, CA",Irvine CA; Plano TX; multiple,"1,500-2,500 (est.)",Est. - LOW,"~4,000-5,000",~$1B+,Public filings - HIGH,Consumers (direct),N/A - direct to consumer,National mortgage telesales operation,Structural: mortgage is an active TCPA filing wave vertical; heavy purchased-lead reliance,Buys refi/trigger leads,12,22,18,12,8,3,75,2 - HIGH,Adequate - NYSE listed,B,Mortgage TCPA wave; rate-driven dialing surges,Chief Compliance Officer / General Counsel,Eleven new mortgage TCPA class actions landed in one recent filing wave. Trigger-lead provenance is the common thread.,National Mortgage News; public filings,MEDIUM
20,Sunrun Inc.,Solar,Residential solar / storage,B2C direct + dealer,"San Francisco, CA",Multiple US,"800-1,500 (est.)",Est. - LOW,"~10,000+",~$2B+,Public filings - HIGH,N/A + dealer network,N/A direct; dealer/channel partners not fully public,Direct and dealer-channel consumer sales including outbound calling,Named in comparative solar litigation analyses; dealer-channel calling creates vicarious exposure,Dealer network sources leads independently - classic uncontrolled-channel risk,12,23,17,11,8,3,74,2 - HIGH,"Strong - NASDAQ listed, largest US residential solar",B - large but dealer channel is genuinely ungoverned,"Dealer-model peers (Freedom Forever, Sunnova) collapsed partly under channel-conduct liabilities",Chief Compliance Officer / VP Channel Operations,Freedom Forever and Sunnova both ran dealer models and both filed Chapter 11 carrying channel-conduct claims. Your dealers dial in your name.,lawobrien solar litigation comparison; public filings; bankruptcy coverage,MEDIUM
21,Achieve (Freedom Financial Network),Personal Finance,Debt resolution / lending,B2C telesales,"San Mateo, CA",Tempe AZ; San Mateo CA; Lake Mary FL,"1,000-2,000 (est.)",Est. from multi-site model - LOW,"~2,500+",Not public,Private - NONE,Consumers (direct),N/A - direct to consumer,Multi-site consumer telesales across debt resolution and lending products,Structural: debt relief vertical base rate; FL site adds FTSA exposure,Buys financial-distress leads,9,22,18,12,8,4,73,2 - HIGH,Strong,A,Vertical base rate + FL operations under FTSA,Chief Compliance Officer / General Counsel,Your Lake Mary floor is dialing under FTSA rules that the federal vacatur never touched.,company profile; FTSA analysis,LOW-MEDIUM
22,Leaf Home,HVAC / Home Services,Gutter protection / home solutions,B2C direct sales,"Hudson, OH","200+ regional sales & field support offices; New York, NY","1,000-2,000 (est.)","Est. from inside sales share of ~4,132 - LOW","~4,132 (Mar 2026)","$2.53B (2025 remodeling revenue, +43.2% YoY)",Qualified Remodeler Top 500 - HIGH,N/A,N/A - direct to consumer,200+ office footprint with centralized appointment-setting and inside sales,Structural: highest-revenue US remodeler with mass-market outbound appointment setting; peer Power Home in active litigation,Heavy purchased lead + appointment-setting vendor reliance,9,22,19,10,8,4,72,2 - HIGH,"Strong - No. 1 US remodeler at $2.53B, growing 43% YoY",A - biggest solvent target in the vertical,43% YoY growth = dialing scaled faster than controls; peer litigation rising,General Counsel / Chief Compliance Officer / VP Sales Ops,You grew remodeling revenue 43% in a year. Consent controls almost never scale at that rate - and the class period starts the day they stop.,Qualified Remodeler 2026 Top 500; Revelio Labs headcount; growjo,MEDIUM-HIGH on size
23,LoanStream Mortgage,Personal Finance,Mortgage lending,B2C/B2B lending,"Irvine, CA","Irvine, CA",200-500 (est.),Est. - LOW,~500,Not public,Private - NONE,Brokers + consumers,Wholesale broker network,"Outbound lending calls; defended a 50,000-member putative TCPA class","Won summary judgment 8/2026 after a TWO-YEAR TCPA class defense (50,000+ putative class)",Purchased + broker-sourced leads,16,20,13,12,7,4,72,2 - HIGH,Operating,A - just paid two years of defense costs to win; maximum motivation to prevent round two,Won on summary judgment 8/2026 - the relief is fresh and the defense invoice is fresher,General Counsel / Chief Compliance Officer,"You won - after two years and a 50,000-member class scare. Provenance is what makes the next one end at the pleadings.",National Mortgage News 8/2026,MEDIUM
24,Mass Markets (MCI),BPO / Outsourced,Outbound telesales BPO,B2B outsourced calling,"Iowa City, IA (parent MCI, Miami Beach, FL)","8 US contact centers incl. 500+ seat Sioux City, IA facility","~2,500 (across 8 centers); Sioux City alone 500+",Company/press disclosed - HIGH,"~2,500",Not public,Private - NONE,Multiple enterprise clients,Client roster not public - B2B and B2C telesales clients across verticals,EXPLICITLY markets outbound telesales B2B and B2C contact center services,Structural: performs outbound calling AS AGENT for clients - the purest vicarious liability posture in the list,Dials client-supplied lists whose consent it did not capture,6,25,20,9,8,4,72,2 - HIGH,"Strong - growing, adding US capacity",A - BPOs must prove compliance to WIN deals; CiV is a revenue tool not a cost,Actively expanding US seat capacity; enterprise clients now demand TCPA indemnity and audit rights in MSAs,General Counsel / VP Compliance / Chief Revenue Officer,You dial lists you did not build under indemnities you cannot verify. Provable provenance wins the deals your competitors cannot underwrite.,massmarkets.com; mci.world; Sioux City Journal facility coverage,HIGH on seats
25,"MediaAlpha, Inc.",Insurance,Programmatic lead/call exchange,B2B exchange,"Los Angeles, CA",Remote-first,"N/A - exchange, minimal own dialing","Model is programmatic, not seat-based - HIGH",~300,$864.7M (2024),Public filings - HIGH,Tier-1 carriers + agencies,Major P&C carriers; transaction value >$1.5B,Routes calls and leads into buyer outbound programs via real-time bidding,Structural: RTB routing makes consent-string integrity the single point of failure across every downstream buyer,Real-time exchange - consent travels with the bid or it does not travel,10,25,14,12,8,3,72,2 - HIGH,Strong - NYSE listed,A - infrastructure-level compliance buyer,Exchange economics reward provable consent; one bad source contaminates every buyer,General Counsel / VP Trust & Compliance,"In an RTB exchange, consent provenance either travels with the bid or every buyer inherits your worst publisher.",company financials; growthsharematrix; abovo market analysis,HIGH on revenue
26,Spring Venture Group,Insurance,Medicare Supp / Advantage telesales,B2C telesales,"Kansas City, MO","Kansas City, MO (primary)","800-1,500 (est.)",Est. from licensed agent model - LOW,"~1,000-1,500","Not public (PE-backed, Corsair Capital)",Private - NONE,Carrier partners,Medicare Supplement/Advantage carriers via United Medicare Advisors & SmartMatch,Direct-to-consumer telesales is the stated business model across two agency brands,Structural: high-volume senior-targeted outbound; ALMIA member (industry self-regulation signals known exposure),Buys Medicare leads at volume,8,22,18,12,8,4,72,2 - HIGH,Strong - Corsair Capital backed,"A - PE-backed, mid-market, compliance is a diligence item",PE ownership = exit prep; TCPA contingent liability is a valuation haircut at diligence,General Counsel / Chief Compliance Officer / CFO,"At exit, unprovable consent becomes an escrow holdback. Provenance is enterprise value, not overhead.",corsair-capital.com; springventuregroup.com; ALMIA membership,MEDIUM
27,TRANZACT (Willis Towers Watson),Insurance,Medicare direct-response,B2B2C outsourced acquisition,"Fort Lee, NJ",Fort Lee NJ; Bala Cynwyd PA (est.),"1,000-2,000 (est.)",Est. from direct-response model - LOW,"~1,500+",Not separately disclosed (WTW segment),Parent public; segment not broken out - LOW,Major MA carriers,Medicare Advantage carriers - operates acquisition on their behalf,Direct-response TV/digital into inbound + outbound telesales for carrier clients,Structural: performs calling ON BEHALF of carriers - classic vicarious liability posture; ALMIA member,Runs the lead-to-call chain for carrier clients - owns the consent record,8,23,18,12,8,3,72,2 - HIGH,Strong - WTW subsidiary,"B - enterprise parent, but the operating unit feels the pain",Carrier clients now demand indemnity + provenance evidence in renewals,Head of Compliance / General Counsel / Client Services Lead,Your carrier clients are pushing TCPA indemnity down to you. Provenance evidence is now a contract renewal term.,ALMIA membership; WTW disclosures,LOW-MEDIUM
28,e-TeleQuote Insurance,Insurance,Medicare telesales,B2C telesales,"Clearwater, FL","Clearwater, FL","600-1,200 (est.)",Est. - LOW,"~1,000",Not public,Private - NONE,Carrier partners,Medicare Advantage carriers,Pure telesales Medicare distributor,"HQ in Florida - FTSA exposure (3-call/24hr cap, 8pm cutoff, $500-$1,500 private right of action) on top of federal TCPA",Buys Medicare leads at volume,8,22,17,12,8,4,71,2 - HIGH,Operating - verify current status,A - FL-domiciled telesales is the highest-density risk profile,Florida domicile + senior targeting = FTSA plaintiff bar's preferred defendant,General Counsel / Chief Compliance Officer,A Clearwater telesales floor calling seniors is the FTSA bar's ideal defendant. Federal relief did nothing for you.,ALMIA membership; insurance-forums industry discussion,LOW-MEDIUM
29,Americor,Personal Finance,Debt relief / consolidation,B2C telesales,"Irvine, CA","Irvine, CA",400-900 (est.),Est. - LOW,"~700-1,000",Not public,Private - NONE,Consumers (direct),N/A - direct to consumer,Consumer telesales for debt settlement/consolidation enrollment,Structural: top-2 TCPA vertical; CA base adds state consumer-protection overlay,Buys distress leads,9,22,16,12,7,4,70,2 - HIGH,Operating - founded 2009,"A - mid-market, reachable",Vertical base rate; sector-wide regulator scrutiny,General Counsel / VP Compliance,Every lead you buy carries someone else's disclosure language. In discovery that language becomes yours.,company profile; WebRecon vertical case mix,LOW
30,ClearOne Advantage,Personal Finance,Debt settlement,B2C telesales,"Baltimore, MD","Baltimore, MD",300-700 (est.),Est. - LOW,~500-800,Not public,Private - NONE,Consumers (direct),N/A - direct to consumer,Consumer debt settlement telesales,"Maryland HQ - Maryland enacted a mini-TCPA in the FTSA mold, applying stricter standards to calls/texts to MD residents",Buys distress leads,8,22,15,12,8,4,69,2 - HIGH,Operating,"A - mid-market, state-law exposure in home state",Maryland mini-TCPA applies to its home-state dialing,General Counsel / VP Compliance,Maryland adopted FTSA-style rules. Your home state is now your highest-risk calling jurisdiction.,state mini-TCPA tracker; company profile,LOW
31,HealthPlanOne / ClearMatch,Insurance,Medicare telesales,B2C telesales,"Trumbull, CT","CA, FL, NY licensed ops","500-1,200 (est.)",Est. - LOW,"~800-1,500",Not public,Private - NONE,Carrier partners,Medicare Advantage/Supplement carriers,Licensed telesales agency model across multiple states,Structural: senior-targeted outbound at scale; ALMIA member; operates in FL (FTSA private right of action),Buys Medicare leads,7,22,16,12,8,4,69,2 - HIGH,Operating - private,"A - mid-market, no in-house TCPA bench",FL operations expose it to FTSA statutory damages independent of federal law,General Counsel / VP Compliance,Your Florida book is exposed under FTSA whether or not the FCC rule survived. State law never blinked.,ALMIA membership; company disclosures,LOW-MEDIUM
32,Long Home Products,HVAC / Home Services,Roofing / baths / windows,B2C direct sales,"Savage, MD",Mid-Atlantic + expanding,150-400 (est.),Est. - LOW,"~800-1,200",Not public,Private - NONE,N/A,N/A - direct to consumer,CONFIRMED Convoso outbound dialer customer (named in Convoso customer materials),Maryland HQ under Maryland's mini-TCPA; confirmed predictive-dialer operator in a high-complaint vertical,Purchased + self-generated appointment leads,8,20,18,10,8,5,69,2 - HIGH,Operating - established regional brand,A - confirmed dialer + mid-market + no in-house bench,Confirmed aggressive outbound dialer in a state that just adopted FTSA-style rules,General Counsel / VP Marketing / COO,"You run a predictive dialer out of Maryland, which just adopted FTSA-style rules. That combination is what the plaintiff bar screens for.",convoso.com customer references; state mini-TCPA tracker,MEDIUM on dialer
33,Renewal by Andersen,HVAC / Home Services,Window replacement,B2C direct + franchise,"Cottage Grove, MN",National franchise/affiliate network,"800-1,500 (est.)",Est. across corporate + affiliate call centers - LOW,"~4,000+ (incl. affiliates)",Not separately disclosed (Andersen Corp subsidiary),Private parent - LOW,N/A + franchise network,N/A direct; franchise/affiliate network,National appointment-setting call center operation supporting in-home sales,Structural: franchise/affiliate calling creates vicarious liability across an uncontrolled network,Corporate + affiliate-purchased leads with inconsistent capture,8,22,17,10,8,4,69,2 - HIGH,Strong - Andersen Corporation subsidiary,B - franchise governance problem is a strong fit for provenance tooling,Franchise-network calling is the exact structure Farmers just settled twice over,General Counsel / VP Franchise Compliance,Farmers settled twice for calls its appointed agents placed. Your affiliate network has the same structure and the same blind spot.,company footprint; Farmers vicarious liability analogy,LOW-MEDIUM
