Category,Datapoint,Definition,Why it matters (TCPA),Primary source,Grade,Publicly collectible,Public collection route
M. Complaints,FTC DNC complaints,Do-not-call complaints on attributed numbers,Registry violations carry per-call liability,"ftc_dnc (466,196 rows)",A,Yes,FTC DNC complaint data releases
M. Complaints,Complaint date range,First and last complaint dates,Recency determines whether this is live or historic,fcc_violations / ftc_dnc,A,Yes,Derived from the public FCC/FTC complaint records
M. Complaints,States affected,States where complaints originated,Maps complaints to mini-TCPA jurisdictions,fcc_violations / ftc_dnc,A,Yes,Derived from the public FCC/FTC complaint records
M. Complaints,BBB complaint volume,Total complaints and category breakdown,Establishes consumer-friction baseline,BBB profile,B,Yes,BBB business profile page
M. Complaints,BBB contact-related complaints,"Complaints mentioning calls, texts or solicitation","Direct, quotable consumer testimony",BBB text mining,B,Yes,Text mining of public BBB complaint narratives
M. Complaints,Robocall board reports,Reports on public robocall/number-lookup boards,Crowd-sourced corroboration of specific numbers,800notes and similar,C,Yes,"800notes, WhoCallsMe and similar public boards"
N. Litigation,Federal TCPA dockets,Cases naming the company or a brand,ICP disqualifier and risk signal,"court_cases (6,071); CourtListener",A,Yes,CourtListener / RECAP free docket search
N. Litigation,Case name / number / court,Full case identification,Required for any procedurally accurate reference,Docket,A,Yes,"Docket header, free on CourtListener"
N. Litigation,Filing date,Date the complaint was filed,Establishes recency and limitations posture,Docket,A,Yes,Docket header
N. Litigation,Class vs individual,Whether pleaded as a class action,Class status changes exposure by orders of magnitude,Docket,A,Yes,Complaint caption and prayer for relief
N. Litigation,Claims asserted,"227(b), 227(c), state statute",Identifies which control failed,Complaint document,A,Yes,Complaint document (free on RECAP where uploaded; PACER fee otherwise)
N. Litigation,Posture / disposition,Current status or outcome,Never describe an allegation as a finding,Docket,A,Yes,Docket entries
N. Litigation,Plaintiff counsel / firm,Firm bringing the action,Firm targeting patterns are predictive,Docket,A,Yes,Docket signature block
N. Litigation,Serial plaintiff involvement,Whether a known repeat filer is involved,Repeat filers target identifiable operational patterns,Docket cross-reference,B,Yes,Cross-reference of plaintiff names across public dockets
N. Litigation,Settlement amount,Disclosed settlement value,Anchors the cost-of-inaction conversation,Court records; press,A,Yes,"Settlement approval orders and press, where disclosed"
O. Enforcement,FCC Enforcement Bureau action,"Citation, NAL or forfeiture order",Regulator finding is the strongest possible evidence,FCC EB database,A,Yes,FCC Enforcement Bureau actions database
O. Enforcement,FTC action,"FTC complaint, order or settlement",Telemarketing Sales Rule exposure,FTC case database,A,Yes,FTC case and proceedings database
O. Enforcement,State AG action,State consumer-protection action,Often precedes private litigation,State AG press releases,A,Yes,State AG press releases and enforcement pages
O. Enforcement,Consent decree obligations,Ongoing obligations from a prior settlement,Creates auditable duties CiV could monitor,Court/regulator records,A,Yes,Filed consent decrees and regulator orders
O. Enforcement,Telemarketer registration,State telemarketer registration or bonding status,Several states require registration and bonds,State registries,B,Yes,State telemarketer registration and bonding registries
P. Jurisdiction,Mini-TCPA states in footprint,States of operation with a private right of action,Stacks state damages on top of federal,B04 + overlay table,A,Yes,Public statutes joined to the publicly derived footprint
P. Jurisdiction,Applicable state statutes,"FTSA, CEMA, OTSA, MTCPA and others by name",Naming the statute is a credibility marker,Overlay table,A,Yes,Published state codes
P. Jurisdiction,Circuits of operation,Federal circuits covering the footprint,Precedent differs materially by circuit,B04 + overlay,A,Yes,Public court structure joined to the footprint
P. Jurisdiction,Texts-as-calls precedent,Whether texts count as calls under 227(c) in that circuit,Live circuit split determines claim viability,Overlay table,A,Yes,Published appellate opinions
P. Jurisdiction,State registration requirement,Registration or bonding duties in footprint states,Non-registration is an independent violation,Overlay table,B,Yes,Published state statutes and registry rules
P. Jurisdiction,Stricter state consent standards,States requiring more than federal PEWC,Federal compliance is not automatically sufficient,Overlay table,A,Yes,Published state statutes
Q. Vendor risk,Vendor in TCPA case corpus,Whether a detected vendor appears in litigation,A vendor with a litigation history is a live risk transfer,vendors / vendor_sellers,A,Yes,Vendor names matched against public docket corpus
Q. Vendor risk,Vendor case / seller count,Number of cases and distinct sellers involved,Recurrence indicates a systemic vendor problem,vendors,A,Yes,Counted from public dockets
Q. Vendor risk,Vendor settled count,Cases the vendor has settled,Settlement pattern signals merit,vendors,A,Yes,Counted from public dockets
Q. Vendor risk,Vendor last-seen date,Most recent case involving the vendor,Recency determines whether risk is current,vendors,A,Yes,Latest public docket date for the vendor
Q. Vendor risk,Vendor type,"Dialer, lead generator, BPO or platform",Different types carry different liability paths,vendors,B,Yes,Vendor's own public site and marketing
R. Commercial & outreach,Legal / compliance contact,Name and title of compliance leadership,Primary persona for the risk conversation,LinkedIn; site,B,Yes,LinkedIn; leadership page
R. Commercial & outreach,Marketing contact,Name and title of marketing leadership,Owns the campaigns that create exposure,LinkedIn; site,B,Yes,LinkedIn; leadership page
R. Commercial & outreach,Contact center contact,Name and title of contact-center leadership,Owns the operational controls,LinkedIn; job posts,B,Yes,LinkedIn; job posts naming the reporting line
R. Commercial & outreach,Executive roster,CEO / COO / CFO names,Escalation path and board framing,Site; press,B,Yes,Leadership page; press
R. Commercial & outreach,Email pattern,Verified corporate email format,Deliverability of outreach,Pattern tools; site,C,Yes,Public email appearances plus pattern inference; verification uses third-party tools
R. Commercial & outreach,Growth trigger,"Recent funding, acquisition or expansion",Timing hook for outreach,Press; deal trackers,B,Yes,Press releases; deal trackers
R. Commercial & outreach,Hiring signals,"Open call-center, marketing or compliance roles","Expanding outbound capacity, or building a compliance function",Careers pages; job boards,B,Yes,Careers page; Indeed/LinkedIn job boards
R. Commercial & outreach,Recent announcements,Press in the last 90 days,Relevance and timeliness of the opener,Press; news,B,Yes,Press and news search
