Category,Datapoint,Definition,Why it matters (TCPA),Primary source,Grade,Publicly collectible,Public collection route
F. Lead sources,Seller named in consent,Whether the original consent names this company,Post-vacatur of the one-to-one rule this remains fully litigable,Vendor disclosure; ASK,C,Partial,Vendor's own public consent pages and partner lists can be read; per-lead truth is internal
F. Lead sources,Franchise / dealer routing,Leads routed to independent operators,Vicarious liability — the Keller Williams / Realogy pattern,Site; ASK,B,Partial,Franchise disclosure documents (FDDs) and site 'find a dealer' flows; routing rules are internal
F. Lead sources,Inbound vs outbound ratio,Share of contacts initiated by the company,Scales the entire exposure surface,ASK,C,No,Internal contact-volume metric
G. Telephony & numbers,Published main line(s),Numbers shown on the website,Starting point of the number inventory,companies.phone; site,A,Yes,Site contact pages; Google Business Profiles
G. Telephony & numbers,Full site number inventory,Every number on every page of every brand domain,Main lines alone do not match complaint data — this is the fix,Site-wide crawl,A,Yes,Site-wide crawl of every page of every brand domain
G. Telephony & numbers,Call-tracking DIDs,Dynamic numbers injected by call-tracking software,These are often the numbers that actually appear in complaints,Rendered DOM; CallRail/Invoca fingerprint,A,Yes,Rendered DOM with tracking JS executed; repeat renders surface the DID pool
G. Telephony & numbers,Toll-free numbers,8XX numbers in use,Separate registration and routing profile,Site crawl,A,Yes,Site crawl; SOMOS toll-free lookups
G. Telephony & numbers,Outbound caller ID,Numbers presented on outbound campaigns,The actual join key to complaint corpora,ASK; reverse attribution,C,Partial,Reverse attribution from public complaint corpora and robocall boards; not published by the company
G. Telephony & numbers,Line type per number,VoIP / wireless / landline classification,VoIP DIDs indicate dialer traffic rather than a reception desk,classify_tns RPC,A,Partial,"Number classification requires a telecom lookup service, not free web"
G. Telephony & numbers,Carrier / OCN per number,Operating carrier per number block,Identifies wholesale providers used for outbound,npanxx_blocks,A,Yes,NANPA / public NPA-NXX block assignment data
G. Telephony & numbers,Wholesale VoIP flag,Number sits on a known wholesale VoIP carrier,Strong indicator of dialer infrastructure,wholesale_voip_carriers,A,Yes,Derived from public carrier/OCN assignment data
G. Telephony & numbers,NPA-NXX blocks used,Central-office blocks the company operates in,Enables reverse attribution of unpublished DIDs,npanxx_blocks,A,Yes,NANPA public block assignments joined to observed numbers
G. Telephony & numbers,Number count and churn,"How many numbers, and how often they change",High churn is a hallmark of dialer rotation,Repeat crawls,B,Yes,Repeat crawls of the same public pages over time
G. Telephony & numbers,Branded caller ID / CNAM,Registered display name on outbound calls,Unbranded outbound drives complaint volume,ASK,C,No,Only observable by receiving a call; registries are carrier-side
G. Telephony & numbers,STIR/SHAKEN attestation,Attestation level on outbound calls,Low attestation increases blocking and complaint rates,ASK,C,No,Attestation lives in SIP headers on the terminating side
H. Technology stack,CRM / field service platform,"ServiceTitan, Housecall Pro, Jobber etc.",System of record for consent and suppression,Site fingerprint; job posts,A,Yes,Site/booking-widget fingerprints; job posts naming the platform
H. Technology stack,Dialer platform,Outbound dialing system,Central to ATDS analysis and campaign controls,Job posts; ASK; case studies,B,Partial,Job posts and vendor case studies often name it; otherwise internal
H. Technology stack,Predictive / power dialing,Whether dialing is automated at scale,Abandonment-rate rules and ATDS exposure,ASK,C,No,Dialing mode is not externally observable
H. Technology stack,SMS platform,"Hatch, Podium, Twilio, EZ Texting etc.",Owns the texting cadence and opt-out handling,Site fingerprint; case studies,A,Yes,Site widget fingerprints; SMS terms; vendor case studies
H. Technology stack,Conversational AI / chatbot,AI agent handling inbound or outbound conversations,AI-initiated contact is squarely regulated,Site fingerprint; case studies,A,Yes,Chat widget fingerprint on the live site
H. Technology stack,Contact center / BPO,Outsourced calling partner,Third party dialing in the company's name,Job posts; ASK,C,Partial,Job posts and BPO client lists/case studies; contracts are internal
H. Technology stack,Call tracking vendor,"CallRail, Invoca etc.",Source of the DIDs that appear in complaints,Site fingerprint,A,Yes,"Script fingerprint (CallRail, Invoca) in page source"
H. Technology stack,Call recording,Whether calls are recorded,Two-party consent statutes create separate exposure,Site notice; ASK,B,Partial,Site/IVR recording notices are public; retention and scope are internal
H. Technology stack,Marketing automation,Email/SMS campaign platform,Campaign orchestration and suppression sync point,Site fingerprint,B,Yes,Tag and script fingerprints on the site
H. Technology stack,Consent management platform,Any dedicated consent system,Absence is the core gap CiV fills,ASK,C,Partial,Web CMP banners are detectable; a call/SMS consent system is not
H. Technology stack,DNC scrub vendor,Suppression / scrubbing service,Determines scrub coverage and cadence,ASK,C,No,Vendor relationship leaves no public artefact
H. Technology stack,Identity / data vendor,"Append, verification or reassignment services",Reassigned-number exposure control,ASK,D,No,Internal vendor relationship
I. DNC & suppression,Written internal DNC policy,A published do-not-call policy document,47 CFR 64.1200(d)(1) requires a written policy available on demand,Site crawl,A,Yes,Site crawl for the published do-not-call policy
I. DNC & suppression,Policy available on demand,Whether the policy is actually obtainable,"The regulation requires availability, not merely existence",Site crawl; ASK,A,Partial,Public availability is testable by crawl; on-request fulfilment is not
I. DNC & suppression,Federal DNC subscription,Registry SAN / subscription status,Required to lawfully telemarket to non-customers,FTC registry; ASK,C,No,FTC does not publish per-company SAN/subscription status
I. DNC & suppression,State DNC subscriptions,State registry subscriptions where required,Several states maintain separate lists,ASK,C,No,State registry subscriber lists are not published
I. DNC & suppression,Scrub frequency,How often lists are re-scrubbed,Registry additions must be honored within 31 days,ASK,C,No,Internal operational cadence
I. DNC & suppression,Suppression scope,Whether suppression is brand-level or enterprise-level,The central multi-brand failure mode,ASK,C,No,Internal system architecture
I. DNC & suppression,Cross-brand propagation,Whether an opt-out at one brand suppresses all,Determines whether one STOP protects the whole portfolio,ASK,C,No,Internal system behaviour
I. DNC & suppression,Revocation methods accepted,Channels through which opt-out is honored,Revocation may be made by any reasonable means,Policy text; ASK,A,Partial,Published policy and SMS terms state the accepted channels; actual honouring is internal
I. DNC & suppression,Any reasonable means' language,Whether policy limits revocation channels,A caller may not designate an exclusive revocation method,Policy text,A,Yes,Published policy text
I. DNC & suppression,Honoring window,Time to process an opt-out,64.1200(d)(3) allows a maximum of 10 business days,Policy text; ASK,A,Partial,Policy text often states the window; actual processing time is internal
J. Timing & cadence,Calling window policy,Stated permissible calling hours,Federal rule limits calls to 8am–9pm at the called party's location,Policy; ASK,B,Partial,Published DNC/contact policy sometimes states hours; enforcement is internal
J. Timing & cadence,Time-zone determination,How local time is derived per contact,Area code is not location — the usual failure,ASK,C,No,Internal dialer logic
J. Timing & cadence,Frequency caps,Maximum contacts per consumer per period,Uncapped cadence multiplies per-violation damages,ASK,C,No,Internal campaign configuration
J. Timing & cadence,Holiday / quiet-day rules,Restrictions on specific dates,Several states impose additional restrictions,ASK,D,No,Internal campaign configuration
J. Timing & cadence,Sequence length,Touches and days per automated sequence,Directly multiplies exposure per enrolled contact,Vendor case studies; ASK,B,Partial,Vendor case studies sometimes publish the cadence; otherwise internal
J. Timing & cadence,Re-contact interval,Wait time before re-dialing a non-answer,Rapid re-dial patterns drive complaints,ASK,C,No,Internal dialer configuration
K. Recordkeeping & evidence,Consent record retention,How long consent records are kept,TCPA claims run four years; records must outlast them,ASK,C,No,Internal retention policy
K. Recordkeeping & evidence,Reproducibility of disclosure,Ability to show the exact text a consumer saw,The decisive question in most consent disputes,ASK,C,Partial,Wayback snapshots can reconstruct what a page showed; the company's own ability to reproduce it is internal
K. Recordkeeping & evidence,Call detail retention,Retention of CDRs,Needed to reconstruct who was called and when,ASK,C,No,Internal retention policy
K. Recordkeeping & evidence,Recording retention,Retention of call recordings,Cuts both ways in litigation; also a state-law issue,ASK,C,No,Internal retention policy
K. Recordkeeping & evidence,SMS content retention,Retention of message bodies,Required to prove what was actually sent,ASK,C,No,Internal retention policy
K. Recordkeeping & evidence,Opt-out event log,Timestamped record of every revocation,Proves the honoring window was met,ASK,C,No,Internal system log
K. Recordkeeping & evidence,Vendor handoff audit trail,Record of data passed to and from vendors,Establishes who contacted whom on whose authority,ASK,C,No,Internal system log
K. Recordkeeping & evidence,Campaign approval records,Documented sign-off before a campaign launches,Demonstrates a compliance program in mitigation,ASK,C,No,Internal governance record
L. Governance,Named compliance owner,Person accountable for telemarketing compliance,No owner means no program,LinkedIn; site; ASK,B,Yes,LinkedIn title search; leadership pages; policy signature blocks
L. Governance,Legal / compliance headcount,Size of the in-house function,Capacity to manage multi-brand obligations,LinkedIn,B,Yes,LinkedIn people search by function
L. Governance,TCPA training program,Training for agents and marketers,Required element of 64.1200(d)(2),ASK,C,No,Internal training programme
L. Governance,Vendor diligence process,How calling vendors are vetted,Determines exposure from third-party dialing,ASK,C,No,Internal process
L. Governance,Acquisition onboarding,Compliance process applied to new acquisitions,The core gap in a roll-up,ASK,C,No,Internal process
L. Governance,Campaign pre-approval,Review before campaigns go live,Prevents violations rather than detecting them,ASK,C,No,Internal process
L. Governance,Exception handling,Process when a control is bypassed,Exceptions are where violations originate,ASK,D,No,Internal process
L. Governance,Internal audit cadence,Frequency of compliance self-audit,One-time audits do not detect drift,ASK,C,No,Internal process
M. Complaints,FCC unwanted-call complaints,Complaints on attributed numbers,Direct evidence consumers reported this operation,"fcc_violations (80,536 rows)",A,Yes,FCC Consumer Complaint Data Center open dataset
M. Complaints,FCC prerecorded subset,Complaints specifically citing prerecorded voice,227(b) strict-liability channel,fcc_violations filter,A,Yes,"Same FCC open dataset, filtered on issue type"
M. Complaints,FTC DNC complaints,Do-not-call complaints on attributed numbers,Registry violations carry per-call liability,"ftc_dnc (466,196 rows)",A,Yes,FTC DNC complaint data releases
M. Complaints,Complaint date range,First and last complaint dates,Recency determines whether this is live or historic,fcc_violations / ftc_dnc,A,Yes,Derived from the public FCC/FTC complaint records
M. Complaints,States affected,States where complaints originated,Maps complaints to mini-TCPA jurisdictions,fcc_violations / ftc_dnc,A,Yes,Derived from the public FCC/FTC complaint records
M. Complaints,BBB complaint volume,Total complaints and category breakdown,Establishes consumer-friction baseline,BBB profile,B,Yes,BBB business profile page
M. Complaints,BBB contact-related complaints,"Complaints mentioning calls, texts or solicitation","Direct, quotable consumer testimony",BBB text mining,B,Yes,Text mining of public BBB complaint narratives
M. Complaints,Robocall board reports,Reports on public robocall/number-lookup boards,Crowd-sourced corroboration of specific numbers,800notes and similar,C,Yes,"800notes, WhoCallsMe and similar public boards"
N. Litigation,Federal TCPA dockets,Cases naming the company or a brand,ICP disqualifier and risk signal,"court_cases (6,071); CourtListener",A,Yes,CourtListener / RECAP free docket search
N. Litigation,State court TCPA matters,State-court telemarketing claims,Same disqualifier; harder to access,UniCourt / Trellis (paid),B,Partial,"Public records, but access is per-county and often paywalled (UniCourt/Trellis)"
N. Litigation,Case name / number / court,Full case identification,Required for any procedurally accurate reference,Docket,A,Yes,"Docket header, free on CourtListener"
N. Litigation,Filing date,Date the complaint was filed,Establishes recency and limitations posture,Docket,A,Yes,Docket header
N. Litigation,Class vs individual,Whether pleaded as a class action,Class status changes exposure by orders of magnitude,Docket,A,Yes,Complaint caption and prayer for relief
N. Litigation,Claims asserted,"227(b), 227(c), state statute",Identifies which control failed,Complaint document,A,Yes,Complaint document (free on RECAP where uploaded; PACER fee otherwise)
N. Litigation,Posture / disposition,Current status or outcome,Never describe an allegation as a finding,Docket,A,Yes,Docket entries
N. Litigation,Plaintiff counsel / firm,Firm bringing the action,Firm targeting patterns are predictive,Docket,A,Yes,Docket signature block
N. Litigation,Serial plaintiff involvement,Whether a known repeat filer is involved,Repeat filers target identifiable operational patterns,Docket cross-reference,B,Yes,Cross-reference of plaintiff names across public dockets
N. Litigation,Settlement amount,Disclosed settlement value,Anchors the cost-of-inaction conversation,Court records; press,A,Yes,"Settlement approval orders and press, where disclosed"
O. Enforcement,FCC Enforcement Bureau action,"Citation, NAL or forfeiture order",Regulator finding is the strongest possible evidence,FCC EB database,A,Yes,FCC Enforcement Bureau actions database
O. Enforcement,FTC action,"FTC complaint, order or settlement",Telemarketing Sales Rule exposure,FTC case database,A,Yes,FTC case and proceedings database
O. Enforcement,State AG action,State consumer-protection action,Often precedes private litigation,State AG press releases,A,Yes,State AG press releases and enforcement pages
O. Enforcement,Consent decree obligations,Ongoing obligations from a prior settlement,Creates auditable duties CiV could monitor,Court/regulator records,A,Yes,Filed consent decrees and regulator orders
O. Enforcement,Telemarketer registration,State telemarketer registration or bonding status,Several states require registration and bonds,State registries,B,Yes,State telemarketer registration and bonding registries
P. Jurisdiction,Mini-TCPA states in footprint,States of operation with a private right of action,Stacks state damages on top of federal,B04 + overlay table,A,Yes,Public statutes joined to the publicly derived footprint
P. Jurisdiction,Applicable state statutes,"FTSA, CEMA, OTSA, MTCPA and others by name",Naming the statute is a credibility marker,Overlay table,A,Yes,Published state codes
P. Jurisdiction,Circuits of operation,Federal circuits covering the footprint,Precedent differs materially by circuit,B04 + overlay,A,Yes,Public court structure joined to the footprint
P. Jurisdiction,Texts-as-calls precedent,Whether texts count as calls under 227(c) in that circuit,Live circuit split determines claim viability,Overlay table,A,Yes,Published appellate opinions
P. Jurisdiction,State registration requirement,Registration or bonding duties in footprint states,Non-registration is an independent violation,Overlay table,B,Yes,Published state statutes and registry rules
P. Jurisdiction,Stricter state consent standards,States requiring more than federal PEWC,Federal compliance is not automatically sufficient,Overlay table,A,Yes,Published state statutes
Q. Vendor risk,Vendor in TCPA case corpus,Whether a detected vendor appears in litigation,A vendor with a litigation history is a live risk transfer,vendors / vendor_sellers,A,Yes,Vendor names matched against public docket corpus
Q. Vendor risk,Vendor case / seller count,Number of cases and distinct sellers involved,Recurrence indicates a systemic vendor problem,vendors,A,Yes,Counted from public dockets
Q. Vendor risk,Vendor settled count,Cases the vendor has settled,Settlement pattern signals merit,vendors,A,Yes,Counted from public dockets
Q. Vendor risk,Vendor last-seen date,Most recent case involving the vendor,Recency determines whether risk is current,vendors,A,Yes,Latest public docket date for the vendor
Q. Vendor risk,Vendor type,"Dialer, lead generator, BPO or platform",Different types carry different liability paths,vendors,B,Yes,Vendor's own public site and marketing
R. Commercial & outreach,Legal / compliance contact,Name and title of compliance leadership,Primary persona for the risk conversation,LinkedIn; site,B,Yes,LinkedIn; leadership page
R. Commercial & outreach,Marketing contact,Name and title of marketing leadership,Owns the campaigns that create exposure,LinkedIn; site,B,Yes,LinkedIn; leadership page
R. Commercial & outreach,Contact center contact,Name and title of contact-center leadership,Owns the operational controls,LinkedIn; job posts,B,Yes,LinkedIn; job posts naming the reporting line
R. Commercial & outreach,Executive roster,CEO / COO / CFO names,Escalation path and board framing,Site; press,B,Yes,Leadership page; press
R. Commercial & outreach,Email pattern,Verified corporate email format,Deliverability of outreach,Pattern tools; site,C,Yes,Public email appearances plus pattern inference; verification uses third-party tools
R. Commercial & outreach,Growth trigger,"Recent funding, acquisition or expansion",Timing hook for outreach,Press; deal trackers,B,Yes,Press releases; deal trackers
R. Commercial & outreach,Hiring signals,"Open call-center, marketing or compliance roles","Expanding outbound capacity, or building a compliance function",Careers pages; job boards,B,Yes,Careers page; Indeed/LinkedIn job boards
R. Commercial & outreach,Recent announcements,Press in the last 90 days,Relevance and timeliness of the opener,Press; news,B,Yes,Press and news search
R. Commercial & outreach,Safest opening fact,The single Grade-A fact to lead with,Every opener must be defensible and verifiable,Derived from signals,A,Derived,Selected from the Grade-A public facts already collected
R. Commercial & outreach,Prohibited claims,Explicit list of what must not be said about this prospect,Prevents an unprovable or defamatory statement,Derived from assertion policies,A,Derived,Generated from internal assertion policy applied to collected facts
S. Scoring outputs,Fragmentation index,Distinct consent documents ÷ brands with a policy,Quantifies decentralization; 1.00 means no two brands match,Computed,A,Derived,Computed entirely from publicly crawled consent documents
S. Scoring outputs,No-policy ratio,Brands with no discoverable consent document ÷ total brands,Measures unmanaged surface area,Computed,A,Derived,Computed entirely from publicly crawled brand policies
S. Scoring outputs,Consent defect count,Count of missing PEWC and DNC elements,Direct count of regulatory gaps,Computed,A,Derived,PEWC inputs are public; DNC inputs are partly internal
S. Scoring outputs,PEWC completeness,Share of required consent elements present,Element-level compliance measure,Computed,A,Derived,Computed entirely from publicly crawled form and policy text
S. Scoring outputs,DNC posture,"Composite of policy, revocation and propagation signals",Measures suppression maturity,Computed,A,Derived,Policy inputs are public; propagation and scope inputs are internal
S. Scoring outputs,Channel intensity,Weighted score of channels and cadence in use,Approximates message volume at risk,Computed,A,Derived,Channel inputs are largely public; cadence inputs are internal
S. Scoring outputs,Attribution confidence,Highest confidence achieved linking numbers to the company,Governs what may be asserted about complaint data,Computed,A,Derived,Computed from public number inventory and public complaint corpora
S. Scoring outputs,Structural exposure,"Score from scale, decentralization and channel mix",Business-model risk independent of any incident,Computed,A,Derived,Scale and decentralization inputs are public; channel-mix inputs are mixed
