Category,Datapoint,Definition,Why it matters (TCPA),Primary source,Grade,Publicly collectible,Public collection route,What the public web gives you,What it does not give you
C. Contact channels & journeys,Appointment reminder program,Automated reminders for scheduled service,"Often mixed with marketing content, converting a transactional stream into a marketing one",SMS terms; site,A,Yes,SMS terms program description; booking-flow disclosures,Complete datapoint from the route named,
C. Contact channels & journeys,Quote / estimate follow-up,Sequence after an unclosed estimate,Classic post-consent-expiry contact pattern,Vendor case studies; ASK,B,Partial,Vendor case studies / form disclosures suggest it; cadence is internal,Form disclosures and vendor case studies show the program exists,"Touch count, cadence and consent basis"
C. Contact channels & journeys,Abandoned-booking recovery,Outreach after an incomplete online booking,Consent may never have been completed at all,Vendor case studies; forms,B,Yes,Booking-form disclosures and vendor case studies,Complete datapoint from the route named,
C. Contact channels & journeys,Renewal / membership outreach,Contact to renew a plan,Recurring automated contact against aging consent,Site; ASK,B,Partial,Plan terms disclose renewal contact; actual campaign is internal,Plan terms disclose that renewal contact happens,"Channel, cadence and whether consent is refreshed"
C. Contact channels & journeys,Win-back / reactivation,Outreach to lapsed customers,Consent staleness and revocation-propagation risk peak here,ASK; vendor case studies,C,Partial,Vendor case studies occasionally name it; otherwise internal,Occasionally named in vendor case studies,"Lapsed-list age, cadence and suppression handling"
C. Contact channels & journeys,Review-request messaging,Automated post-service review requests,High-volume automated texting stream,Vendor case studies; SMS terms,B,Yes,SMS terms; review-platform footprints; vendor case studies,Complete datapoint from the route named,
C. Contact channels & journeys,Financing / promotional offers,Promotional campaigns incl. financing,Unambiguously telemarketing; requires PEWC,Site; campaign pages,A,Yes,Site promo and financing pages; campaign landing pages,Complete datapoint from the route named,
C. Contact channels & journeys,Multi-day automated sequence,Confirmed multi-touch automated cadence,Multiplies per-violation damages across every touch,Vendor case studies,A,Yes,Vendor case studies describing the cadence publicly,Complete datapoint from the route named,
D. Consent capture,Lead form inventory,URL of every form collecting a phone number,Each form is a separate consent instrument,Site crawl,A,Yes,Site-wide crawl of every brand domain,Complete datapoint from the route named,
D. Consent capture,Phone field present,Form collects a telephone number,Identifies which forms create TCPA obligations,Rendered DOM,A,Yes,Rendered DOM of each form,Complete datapoint from the route named,
D. Consent capture,Consent checkbox present,An affirmative opt-in control exists,"PEWC requires an affirmative act, not passive notice",Rendered DOM,A,Yes,Rendered DOM,Complete datapoint from the route named,
D. Consent capture,Checkbox pre-checked,Whether the box defaults to checked,A pre-checked box is not affirmative consent,Rendered DOM (defaultChecked),A,Yes,Rendered DOM (defaultChecked attribute),Complete datapoint from the route named,
D. Consent capture,Consent language verbatim,Exact disclosure text next to the phone field,This is the text a plaintiff's expert will parse word by word,Rendered DOM,A,Yes,Rendered DOM text adjacent to the phone field,Complete datapoint from the route named,
D. Consent capture,PEWC: agreement / signature,Clear written agreement to receive telemarketing,Required element of 47 CFR 64.1200(f)(9),Form + policy text,A,Yes,Form text + linked policy,Complete datapoint from the route named,
D. Consent capture,PEWC: autodialer disclosure,States calls may use an automatic telephone dialing system,Required element of 64.1200(f)(9),Form + policy text,A,Yes,Form text + linked policy,Complete datapoint from the route named,
D. Consent capture,PEWC: prerecorded voice disclosure,States calls may use artificial or prerecorded voice,Required element of 64.1200(f)(9),Form + policy text,A,Yes,Form text + linked policy,Complete datapoint from the route named,
D. Consent capture,PEWC: not a condition of purchase,States consent is not required to buy anything,Required element of 64.1200(f)(9)(i)(B) — most commonly missing,Form + policy text,A,Yes,Form text + linked policy,Complete datapoint from the route named,
D. Consent capture,PEWC: seller identified,Names the specific business authorized to call,Consent must identify who may call,Form + policy text,A,Yes,Form text + linked policy,Complete datapoint from the route named,
D. Consent capture,Scope extends to affiliates,Language extending consent to affiliates/partners,Leaves the authorized-caller set undefined and unprovable,Policy text,A,Yes,Published consent/privacy text,Complete datapoint from the route named,
D. Consent capture,Scope names channels,Whether consent distinguishes calls from texts,Channel-ambiguous consent is contested in litigation,Policy text,A,Yes,Published consent/privacy text,Complete datapoint from the route named,
D. Consent capture,Privacy link adjacent to form,Policy linked at point of collection,Supports the 'clear and conspicuous' requirement,Rendered DOM,B,Yes,Rendered DOM,Complete datapoint from the route named,
D. Consent capture,Consent text version / date,Last-updated date on the policy,Establishes which consents were captured under which text,Policy footer,A,Yes,Policy footer last-updated line,Complete datapoint from the route named,
D. Consent capture,Consent change history,Prior versions of the consent language over time,Consents captured under superseded text may be unprovable,Wayback CDX (pending access test),A,Yes,Wayback Machine CDX API snapshots of the policy URL,Complete datapoint from the route named,
E. SMS program,SMS terms page exists,Dedicated messaging terms page,Absence signals an unmanaged messaging program,Site crawl,A,Yes,"Site crawl for /sms-terms, /messaging-terms etc.",Complete datapoint from the route named,
E. SMS program,Frequency disclosed,Whether message frequency is stated,Required element of carrier and CTIA messaging standards,SMS terms,A,Yes,SMS terms page,Complete datapoint from the route named,
E. SMS program,Disclosed frequency value,"The stated cadence, e.g. 'up to daily'",A high self-disclosed cadence multiplies per-message exposure,SMS terms,A,Yes,SMS terms page,Complete datapoint from the route named,
E. SMS program,Msg & data rates notice,Standard rates disclosure present,Required messaging-program element,SMS terms,A,Yes,SMS terms page,Complete datapoint from the route named,
E. SMS program,STOP keyword disclosed,Opt-out keyword documented,Revocation mechanism must be disclosed and honored,SMS terms,A,Yes,SMS terms page,Complete datapoint from the route named,
E. SMS program,HELP keyword disclosed,Help keyword documented,Required messaging-program element,SMS terms,A,Yes,SMS terms page,Complete datapoint from the route named,
E. SMS program,Program description,Stated purpose of the messaging program,Marketing programs require PEWC; transactional do not,SMS terms,A,Yes,SMS terms page,Complete datapoint from the route named,
E. SMS program,Number type used for SMS,"Short code, 10DLC long code, or toll-free",Determines registration duties and carrier scrutiny,SMS terms; message headers; ASK,C,Partial,Short/toll-free codes are often published in SMS terms; 10DLC long codes usually are not,Short codes and toll-free numbers are usually published in SMS terms,10DLC long codes are rarely disclosed
F. Lead sources,Third-party aggregators,"Angi, Thumbtack, HomeAdvisor, Modernize, Networx etc.",Purchased-lead consent is the most litigated TCPA fact pattern,Site fingerprint; vendor case studies,A,Yes,Aggregator directory listings and profile pages; site badges/fingerprints,Complete datapoint from the route named,
F. Lead sources,Google Local Services Ads,Participation in Google LSA,"Lead arrives with Google's consent, not the contractor's",Site fingerprint; badge,A,Yes,Google LSA listings and the Google Guaranteed badge,Complete datapoint from the route named,
F. Lead sources,Affiliate / co-registration,Affiliate or co-reg lead programs,Consent obtained by an unknown third party on an unknown page,Job posts; site; ASK,B,Partial,Job posts and affiliate-network directories give signals; contracts are internal,Job posts and affiliate-network directory listings,"Which affiliates, on what pages, under what consent language"
F. Lead sources,Consent artifact captured,TrustedForm / Jornaya certificate stored with each lead,"Without a certificate, consent is asserted but not evidenced",Page fingerprint; ASK,B,Partial,TrustedForm/Jornaya scripts are detectable in page source; storage practice is internal,TrustedForm/Jornaya scripts are detectable in page source,"Whether certificates are stored, and retrievable per lead"
F. Lead sources,Seller named in consent,Whether the original consent names this company,Post-vacatur of the one-to-one rule this remains fully litigable,Vendor disclosure; ASK,C,Partial,Vendor's own public consent pages and partner lists can be read; per-lead truth is internal,The lead vendor's own public consent pages and partner lists,Whether this specific company is named on the lead's actual consent
F. Lead sources,Franchise / dealer routing,Leads routed to independent operators,Vicarious liability — the Keller Williams / Realogy pattern,Site; ASK,B,Partial,Franchise disclosure documents (FDDs) and site 'find a dealer' flows; routing rules are internal,Franchise disclosure documents and 'find a dealer' flows,Routing rules and who dials after the handoff
G. Telephony & numbers,Published main line(s),Numbers shown on the website,Starting point of the number inventory,companies.phone; site,A,Yes,Site contact pages; Google Business Profiles,Complete datapoint from the route named,
G. Telephony & numbers,Full site number inventory,Every number on every page of every brand domain,Main lines alone do not match complaint data — this is the fix,Site-wide crawl,A,Yes,Site-wide crawl of every page of every brand domain,Complete datapoint from the route named,
G. Telephony & numbers,Call-tracking DIDs,Dynamic numbers injected by call-tracking software,These are often the numbers that actually appear in complaints,Rendered DOM; CallRail/Invoca fingerprint,A,Yes,Rendered DOM with tracking JS executed; repeat renders surface the DID pool,Complete datapoint from the route named,
G. Telephony & numbers,Toll-free numbers,8XX numbers in use,Separate registration and routing profile,Site crawl,A,Yes,Site crawl; SOMOS toll-free lookups,Complete datapoint from the route named,
G. Telephony & numbers,Outbound caller ID,Numbers presented on outbound campaigns,The actual join key to complaint corpora,ASK; reverse attribution,C,Partial,Reverse attribution from public complaint corpora and robocall boards; not published by the company,Reverse attribution from public complaint corpora and robocall boards,The authoritative outbound DID list
G. Telephony & numbers,Line type per number,VoIP / wireless / landline classification,VoIP DIDs indicate dialer traffic rather than a reception desk,classify_tns RPC,A,Partial,"Number classification requires a telecom lookup service, not free web",The number inventory itself is public,"Classification needs a paid telecom lookup, not free web"
G. Telephony & numbers,Carrier / OCN per number,Operating carrier per number block,Identifies wholesale providers used for outbound,npanxx_blocks,A,Yes,NANPA / public NPA-NXX block assignment data,Complete datapoint from the route named,
G. Telephony & numbers,Wholesale VoIP flag,Number sits on a known wholesale VoIP carrier,Strong indicator of dialer infrastructure,wholesale_voip_carriers,A,Yes,Derived from public carrier/OCN assignment data,Complete datapoint from the route named,
G. Telephony & numbers,NPA-NXX blocks used,Central-office blocks the company operates in,Enables reverse attribution of unpublished DIDs,npanxx_blocks,A,Yes,NANPA public block assignments joined to observed numbers,Complete datapoint from the route named,
G. Telephony & numbers,Number count and churn,"How many numbers, and how often they change",High churn is a hallmark of dialer rotation,Repeat crawls,B,Yes,Repeat crawls of the same public pages over time,Complete datapoint from the route named,
H. Technology stack,CRM / field service platform,"ServiceTitan, Housecall Pro, Jobber etc.",System of record for consent and suppression,Site fingerprint; job posts,A,Yes,Site/booking-widget fingerprints; job posts naming the platform,Complete datapoint from the route named,
H. Technology stack,Dialer platform,Outbound dialing system,Central to ATDS analysis and campaign controls,Job posts; ASK; case studies,B,Partial,Job posts and vendor case studies often name it; otherwise internal,Job posts and vendor case studies frequently name the platform,"Configuration, dialing mode and campaign controls"
H. Technology stack,SMS platform,"Hatch, Podium, Twilio, EZ Texting etc.",Owns the texting cadence and opt-out handling,Site fingerprint; case studies,A,Yes,Site widget fingerprints; SMS terms; vendor case studies,Complete datapoint from the route named,
H. Technology stack,Conversational AI / chatbot,AI agent handling inbound or outbound conversations,AI-initiated contact is squarely regulated,Site fingerprint; case studies,A,Yes,Chat widget fingerprint on the live site,Complete datapoint from the route named,
H. Technology stack,Contact center / BPO,Outsourced calling partner,Third party dialing in the company's name,Job posts; ASK,C,Partial,Job posts and BPO client lists/case studies; contracts are internal,Job posts and BPO client lists or case studies,Contract scope and whose consent data the BPO dials
H. Technology stack,Call tracking vendor,"CallRail, Invoca etc.",Source of the DIDs that appear in complaints,Site fingerprint,A,Yes,"Script fingerprint (CallRail, Invoca) in page source",Complete datapoint from the route named,
H. Technology stack,Call recording,Whether calls are recorded,Two-party consent statutes create separate exposure,Site notice; ASK,B,Partial,Site/IVR recording notices are public; retention and scope are internal,Site and IVR recording notices confirm recording occurs,Retention period and which states/calls are covered
H. Technology stack,Marketing automation,Email/SMS campaign platform,Campaign orchestration and suppression sync point,Site fingerprint,B,Yes,Tag and script fingerprints on the site,Complete datapoint from the route named,
H. Technology stack,Consent management platform,Any dedicated consent system,Absence is the core gap CiV fills,ASK,C,Partial,Web CMP banners are detectable; a call/SMS consent system is not,Web CMP banners are detectable on the site,Whether any system governs call/SMS consent
I. DNC & suppression,Written internal DNC policy,A published do-not-call policy document,47 CFR 64.1200(d)(1) requires a written policy available on demand,Site crawl,A,Yes,Site crawl for the published do-not-call policy,Complete datapoint from the route named,
I. DNC & suppression,Policy available on demand,Whether the policy is actually obtainable,"The regulation requires availability, not merely existence",Site crawl; ASK,A,Partial,Public availability is testable by crawl; on-request fulfilment is not,Whether the policy is published is testable by crawl,Whether it is actually furnished on request
I. DNC & suppression,Revocation methods accepted,Channels through which opt-out is honored,Revocation may be made by any reasonable means,Policy text; ASK,A,Partial,Published policy and SMS terms state the accepted channels; actual honouring is internal,Published policy and SMS terms state the accepted channels,Whether other reasonable means are honored in practice
I. DNC & suppression,Any reasonable means' language,Whether policy limits revocation channels,A caller may not designate an exclusive revocation method,Policy text,A,Yes,Published policy text,Complete datapoint from the route named,
I. DNC & suppression,Honoring window,Time to process an opt-out,64.1200(d)(3) allows a maximum of 10 business days,Policy text; ASK,A,Partial,Policy text often states the window; actual processing time is internal,Policy text often states the committed window,Actual processing time against that commitment
J. Timing & cadence,Calling window policy,Stated permissible calling hours,Federal rule limits calls to 8am–9pm at the called party's location,Policy; ASK,B,Partial,Published DNC/contact policy sometimes states hours; enforcement is internal,Published contact policy sometimes states permitted hours,Whether dialer enforcement matches the stated policy
J. Timing & cadence,Sequence length,Touches and days per automated sequence,Directly multiplies exposure per enrolled contact,Vendor case studies; ASK,B,Partial,Vendor case studies sometimes publish the cadence; otherwise internal,Vendor case studies sometimes publish the exact cadence,Current sequence configuration per campaign
K. Recordkeeping & evidence,Reproducibility of disclosure,Ability to show the exact text a consumer saw,The decisive question in most consent disputes,ASK,C,Partial,Wayback snapshots can reconstruct what a page showed; the company's own ability to reproduce it is internal,Wayback snapshots reconstruct what a page showed on a date,Whether the company can tie a specific consumer to a specific disclosure
L. Governance,Named compliance owner,Person accountable for telemarketing compliance,No owner means no program,LinkedIn; site; ASK,B,Yes,LinkedIn title search; leadership pages; policy signature blocks,Complete datapoint from the route named,
L. Governance,Legal / compliance headcount,Size of the in-house function,Capacity to manage multi-brand obligations,LinkedIn,B,Yes,LinkedIn people search by function,Complete datapoint from the route named,
M. Complaints,FCC unwanted-call complaints,Complaints on attributed numbers,Direct evidence consumers reported this operation,"fcc_violations (80,536 rows)",A,Yes,FCC Consumer Complaint Data Center open dataset,Complete datapoint from the route named,
M. Complaints,FCC prerecorded subset,Complaints specifically citing prerecorded voice,227(b) strict-liability channel,fcc_violations filter,A,Yes,"Same FCC open dataset, filtered on issue type",Complete datapoint from the route named,
M. Complaints,FTC DNC complaints,Do-not-call complaints on attributed numbers,Registry violations carry per-call liability,"ftc_dnc (466,196 rows)",A,Yes,FTC DNC complaint data releases,Complete datapoint from the route named,
M. Complaints,Complaint date range,First and last complaint dates,Recency determines whether this is live or historic,fcc_violations / ftc_dnc,A,Yes,Derived from the public FCC/FTC complaint records,Complete datapoint from the route named,
M. Complaints,States affected,States where complaints originated,Maps complaints to mini-TCPA jurisdictions,fcc_violations / ftc_dnc,A,Yes,Derived from the public FCC/FTC complaint records,Complete datapoint from the route named,
M. Complaints,BBB complaint volume,Total complaints and category breakdown,Establishes consumer-friction baseline,BBB profile,B,Yes,BBB business profile page,Complete datapoint from the route named,
M. Complaints,BBB contact-related complaints,"Complaints mentioning calls, texts or solicitation","Direct, quotable consumer testimony",BBB text mining,B,Yes,Text mining of public BBB complaint narratives,Complete datapoint from the route named,
M. Complaints,Robocall board reports,Reports on public robocall/number-lookup boards,Crowd-sourced corroboration of specific numbers,800notes and similar,C,Yes,"800notes, WhoCallsMe and similar public boards",Complete datapoint from the route named,
N. Litigation,Federal TCPA dockets,Cases naming the company or a brand,ICP disqualifier and risk signal,"court_cases (6,071); CourtListener",A,Yes,CourtListener / RECAP free docket search,Complete datapoint from the route named,
N. Litigation,State court TCPA matters,State-court telemarketing claims,Same disqualifier; harder to access,UniCourt / Trellis (paid),B,Partial,"Public records, but access is per-county and often paywalled (UniCourt/Trellis)",Genuinely public records,Access is per-county and often paywalled (UniCourt/Trellis)
N. Litigation,Case name / number / court,Full case identification,Required for any procedurally accurate reference,Docket,A,Yes,"Docket header, free on CourtListener",Complete datapoint from the route named,
N. Litigation,Filing date,Date the complaint was filed,Establishes recency and limitations posture,Docket,A,Yes,Docket header,Complete datapoint from the route named,
N. Litigation,Class vs individual,Whether pleaded as a class action,Class status changes exposure by orders of magnitude,Docket,A,Yes,Complaint caption and prayer for relief,Complete datapoint from the route named,
N. Litigation,Claims asserted,"227(b), 227(c), state statute",Identifies which control failed,Complaint document,A,Yes,Complaint document (free on RECAP where uploaded; PACER fee otherwise),Complete datapoint from the route named,
N. Litigation,Posture / disposition,Current status or outcome,Never describe an allegation as a finding,Docket,A,Yes,Docket entries,Complete datapoint from the route named,
N. Litigation,Plaintiff counsel / firm,Firm bringing the action,Firm targeting patterns are predictive,Docket,A,Yes,Docket signature block,Complete datapoint from the route named,
N. Litigation,Serial plaintiff involvement,Whether a known repeat filer is involved,Repeat filers target identifiable operational patterns,Docket cross-reference,B,Yes,Cross-reference of plaintiff names across public dockets,Complete datapoint from the route named,
N. Litigation,Settlement amount,Disclosed settlement value,Anchors the cost-of-inaction conversation,Court records; press,A,Yes,"Settlement approval orders and press, where disclosed",Complete datapoint from the route named,
O. Enforcement,FCC Enforcement Bureau action,"Citation, NAL or forfeiture order",Regulator finding is the strongest possible evidence,FCC EB database,A,Yes,FCC Enforcement Bureau actions database,Complete datapoint from the route named,
O. Enforcement,FTC action,"FTC complaint, order or settlement",Telemarketing Sales Rule exposure,FTC case database,A,Yes,FTC case and proceedings database,Complete datapoint from the route named,
O. Enforcement,State AG action,State consumer-protection action,Often precedes private litigation,State AG press releases,A,Yes,State AG press releases and enforcement pages,Complete datapoint from the route named,
O. Enforcement,Consent decree obligations,Ongoing obligations from a prior settlement,Creates auditable duties CiV could monitor,Court/regulator records,A,Yes,Filed consent decrees and regulator orders,Complete datapoint from the route named,
O. Enforcement,Telemarketer registration,State telemarketer registration or bonding status,Several states require registration and bonds,State registries,B,Yes,State telemarketer registration and bonding registries,Complete datapoint from the route named,
P. Jurisdiction,Mini-TCPA states in footprint,States of operation with a private right of action,Stacks state damages on top of federal,B04 + overlay table,A,Yes,Public statutes joined to the publicly derived footprint,Complete datapoint from the route named,
P. Jurisdiction,Applicable state statutes,"FTSA, CEMA, OTSA, MTCPA and others by name",Naming the statute is a credibility marker,Overlay table,A,Yes,Published state codes,Complete datapoint from the route named,
P. Jurisdiction,Circuits of operation,Federal circuits covering the footprint,Precedent differs materially by circuit,B04 + overlay,A,Yes,Public court structure joined to the footprint,Complete datapoint from the route named,
P. Jurisdiction,Texts-as-calls precedent,Whether texts count as calls under 227(c) in that circuit,Live circuit split determines claim viability,Overlay table,A,Yes,Published appellate opinions,Complete datapoint from the route named,
P. Jurisdiction,State registration requirement,Registration or bonding duties in footprint states,Non-registration is an independent violation,Overlay table,B,Yes,Published state statutes and registry rules,Complete datapoint from the route named,
P. Jurisdiction,Stricter state consent standards,States requiring more than federal PEWC,Federal compliance is not automatically sufficient,Overlay table,A,Yes,Published state statutes,Complete datapoint from the route named,
Q. Vendor risk,Vendor in TCPA case corpus,Whether a detected vendor appears in litigation,A vendor with a litigation history is a live risk transfer,vendors / vendor_sellers,A,Yes,Vendor names matched against public docket corpus,Complete datapoint from the route named,
Q. Vendor risk,Vendor case / seller count,Number of cases and distinct sellers involved,Recurrence indicates a systemic vendor problem,vendors,A,Yes,Counted from public dockets,Complete datapoint from the route named,
Q. Vendor risk,Vendor settled count,Cases the vendor has settled,Settlement pattern signals merit,vendors,A,Yes,Counted from public dockets,Complete datapoint from the route named,
Q. Vendor risk,Vendor last-seen date,Most recent case involving the vendor,Recency determines whether risk is current,vendors,A,Yes,Latest public docket date for the vendor,Complete datapoint from the route named,
Q. Vendor risk,Vendor type,"Dialer, lead generator, BPO or platform",Different types carry different liability paths,vendors,B,Yes,Vendor's own public site and marketing,Complete datapoint from the route named,
R. Commercial & outreach,Legal / compliance contact,Name and title of compliance leadership,Primary persona for the risk conversation,LinkedIn; site,B,Yes,LinkedIn; leadership page,Complete datapoint from the route named,
R. Commercial & outreach,Marketing contact,Name and title of marketing leadership,Owns the campaigns that create exposure,LinkedIn; site,B,Yes,LinkedIn; leadership page,Complete datapoint from the route named,
R. Commercial & outreach,Contact center contact,Name and title of contact-center leadership,Owns the operational controls,LinkedIn; job posts,B,Yes,LinkedIn; job posts naming the reporting line,Complete datapoint from the route named,
R. Commercial & outreach,Executive roster,CEO / COO / CFO names,Escalation path and board framing,Site; press,B,Yes,Leadership page; press,Complete datapoint from the route named,
R. Commercial & outreach,Email pattern,Verified corporate email format,Deliverability of outreach,Pattern tools; site,C,Yes,Public email appearances plus pattern inference; verification uses third-party tools,Complete datapoint from the route named,
R. Commercial & outreach,Growth trigger,"Recent funding, acquisition or expansion",Timing hook for outreach,Press; deal trackers,B,Yes,Press releases; deal trackers,Complete datapoint from the route named,
R. Commercial & outreach,Hiring signals,"Open call-center, marketing or compliance roles","Expanding outbound capacity, or building a compliance function",Careers pages; job boards,B,Yes,Careers page; Indeed/LinkedIn job boards,Complete datapoint from the route named,
R. Commercial & outreach,Recent announcements,Press in the last 90 days,Relevance and timeliness of the opener,Press; news,B,Yes,Press and news search,Complete datapoint from the route named,
